Employee_id,Department,Department_Name,Division,Gender,Base_Salary,2021_Overtime_Pay,2021_Longevity_Pay,Post_Code,Position,Race,Bonus_Level,Length_of_Service,Education,base_bonus,other_bonus
44,POL,Department of Police,PSB 5th District Patrol,F,99865.0,18.64,3469.57,92101,Assistant,Asian,3,1,High School,49932.5,873.9165
45,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,104287.33,10923.15,0.0,77001,Senior,Pacific Islander,5,5,High School,156430.995,3823.1025
46,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,48205.13,0.0,0.0,19102,Assistant,Black,2,1,Master,19282.052,0.0
47,POL,Department of Police,MSB Communications Division,M,57149.89,6387.68,0.0,95113,Assistant,Asian,4,5,High School,80009.846,2235.688
48,ABS,Alcohol Beverage Services,White Oak,M,39248.69,210.79,0.0,90001,Senior,Black,4,8,Ph.D,78497.38,73.7765
49,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,F,83628.0,4841.72,0.0,19102,Manager,Black,4,7,High School,150530.40000000002,1694.602
50,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,36050.09,552.7,0.0,95113,Manager,Pacific Islander,1,10,Bachelor,75705.189,193.445
51,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,22202.0,0.0,0.0,19102,Senior,Pacific Islander,2,4,High School,22202.000000000004,0.0
52,DOT,Department of Transportation,Transportation Management,M,80926.65,14299.23,0.0,77001,Senior,White,1,1,Ph.D,24277.995,5004.7305
53,REC,Department of Recreation,Facilities Division,F,75208.56,0.0,0.0,60601,Junior,White,2,10,Master,165458.832,0.0
54,LIB,Department of Public Libraries,Public Service Administration,F,91469.07,0.0,0.0,60601,Junior,Pacific Islander,1,8,Ph.D,155497.41900000002,0.0
55,CAT,County Attorney's Office,CAT 30 Human Resources and Appeals,F,150527.0,0.0,0.0,92101,Senior,Black,3,9,High School,316106.70000000007,0.0
56,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,M,76216.28,0.0,0.0,60601,Senior,Asian,2,4,High School,76216.28,0.0
57,LIB,Department of Public Libraries,Long Branch Library,M,87969.0,0.0,1747.2,90001,Assistant,Black,3,8,High School,167141.09999999998,436.8
58,DOT,Department of Transportation,DOT 50 Traffic Engineering Studies Section,M,97203.6,0.0,0.0,78201,Senior,Other,1,8,High School,165246.12,0.0
59,POL,Department of Police,ISB Major Crimes Division Fugitive Section,M,95112.0,7954.65,6724.51,78201,Assistant,Black,4,9,High School,209246.4,4465.254999999999
60,POL,Department of Police,PSB 5th District Patrol,M,82882.0,0.0,0.0,75201,Manager,White,3,9,High School,174052.2,0.0
61,HHS,Department of Health and Human Services,School Health Services,F,51619.12,4216.23,0.0,85001,Assistant,White,1,10,High School,108400.152,1475.6804999999997
62,FIN,Department of Finance,General Accounting,F,111407.0,0.0,1537.28,92101,Assistant,Hispanic,2,6,Ph.D,155969.80000000002,384.32
63,PRO,Office of Procurement,Procurement Operations Section,M,91177.91,0.0,2495.2,75201,Manager,Hispanic,5,9,Master,209709.19300000003,623.8
64,PRO,Office of Procurement,Procurement Division,F,115635.68,0.0,0.0,85001,Assistant,White,5,8,Bachelor,242834.928,0.0
65,HHS,Department of Health and Human Services,School Health Services,F,63425.0,2378.87,1889.68,60601,Manager,White,5,10,Ph.D,158562.5,1305.0245
66,LIB,Department of Public Libraries,Wheaton Library,F,20498.14,0.0,0.0,92101,Senior,White,1,5,Master,22547.954,0.0
67,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,M,52041.37,717.15,0.0,78201,Manager,Pacific Islander,5,6,Ph.D,88470.32900000001,251.0025
68,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,86697.89,0.0,0.0,92101,Manager,Native American,2,1,Master,34679.156,0.0
69,POL,Department of Police,FSB Traffic Division,M,95112.0,9064.73,6724.51,60601,Manager,Native American,1,10,Ph.D,199735.2,4853.782999999999
70,HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,71249.89,0.0,0.0,92101,Junior,Asian,3,1,Bachelor,35624.945,0.0
71,POL,Department of Police,MSB Training and Education Division,F,80086.0,0.0,0.0,75201,Senior,Hispanic,5,4,Master,104111.8,0.0
72,DHS,Office of Emergency Management and Homeland Security,Policy and Planning,M,116825.0,0.0,0.0,75201,Manager,Pacific Islander,2,8,Master,210285.0,0.0
73,DOT,Department of Transportation,Transit Gaithersburg Ride On,F,55655.85,7110.46,0.0,75201,Manager,White,5,5,Master,83483.775,2488.661
74,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,92211.0,0.0,0.0,75201,Junior,Hispanic,3,1,Master,46105.5,0.0
75,FRS,Fire and Rescue Services,Station 32,F,58975.0,567.08,0.0,75201,Junior,Other,1,2,Bachelor,29487.5,198.478
76,COR,Correction and Rehabilitation,MSD Human Resources,F,125237.58,0.0,0.0,19102,Senior,Pacific Islander,1,8,Bachelor,212903.88600000003,0.0
77,POL,Department of Police,FSB Security Services Division,M,73439.0,16328.47,0.0,19102,Assistant,White,2,5,High School,88126.8,5714.964499999999
78,FRS,Fire and Rescue Services,Station 30,M,55052.0,26890.9,0.0,60601,Manager,White,3,5,Ph.D,71567.6,9411.815
79,POL,Department of Police,PSB 5th District Patrol,M,91894.0,5311.05,0.0,19102,Senior,Black,5,7,Master,174598.59999999998,1858.8675
80,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,71500.19,0.0,0.0,92101,Assistant,Pacific Islander,3,5,High School,92950.247,0.0
81,POL,Department of Police,PSB 1st District Patrol,M,95112.0,212.98,3304.47,10001,Assistant,White,3,8,High School,180712.8,900.6605
82,HHS,Department of Health and Human Services,Public Health Services Division,F,97000.0,0.0,0.0,90001,Junior,Pacific Islander,3,3,High School,87300.0,0.0
83,POL,Department of Police,POL 47 FSB Traffic Division Automated Traffic Enforcement Section,M,124306.6,0.0,0.0,92101,Senior,Native American,3,10,Master,285905.18000000005,0.0
84,FRS,Fire and Rescue Services,Station 6,M,87356.0,17646.4,0.0,60601,Junior,Native American,2,10,Master,192183.2,6176.24
85,FRS,Fire and Rescue Services,FRS 45 Fleet Support,M,101350.0,4442.48,4780.21,10001,Junior,Pacific Islander,5,9,Ph.D,233105.0,2749.9205
86,DGS,Department of General Services,Fleet Automotive Heavy Equipment,M,83931.0,0.0,0.0,90001,Senior,Hispanic,5,8,High School,176255.1,0.0
87,POL,Department of Police,MSB Training and Education Division,M,109849.0,6658.4,7766.33,75201,Senior,Native American,5,1,Ph.D,76894.30000000002,4272.022499999999
88,FRS,Fire and Rescue Services,Station 1,M,71062.0,555.19,0.0,77001,Assistant,Pacific Islander,1,2,Master,35531.0,194.3165
89,FRS,Fire and Rescue Services,Station 23,M,105707.0,35063.89,1098.32,78201,Senior,Asian,1,4,Ph.D,95136.3,12546.9415
90,DGS,Department of General Services,Fleet Automotive Heavy Equipment,M,83931.0,20419.88,4288.64,77001,Manager,Other,1,4,Master,75537.90000000001,8219.118
91,POL,Department of Police,PSB 3rd District Patrol,M,55154.0,2206.55,0.0,75201,Senior,Native American,5,8,Bachelor,115823.4,772.2925
92,POL,Department of Police,ISB Major Crimes Division Cold Case Section,M,109849.0,3007.59,7766.33,10001,Manager,Asian,4,8,High School,219698.00000000003,2994.239
93,PIO,Office of Public Information,MC311,F,72930.0,755.81,1508.88,90001,Junior,Asian,3,8,Ph.D,138567.0,641.7535
94,HHS,Department of Health and Human Services,Children Youth and Family Services Division,M,27864.81,0.0,0.0,78201,Manager,Other,2,8,Ph.D,50156.658,0.0
95,FIN,Department of Finance,Accounts Receivable,F,146923.0,0.0,0.0,75201,Junior,Native American,3,9,Ph.D,308538.30000000005,0.0
96,FRS,Fire and Rescue Services,Station 25,M,119197.0,219325.63,4680.0,92101,Junior,Asian,3,2,High School,83437.90000000001,77933.9705
97,OAG,Office of Agriculture,Agricultural Services,M,76289.35,0.0,0.0,85001,Assistant,Black,3,3,High School,68660.41500000001,0.0
98,POL,Department of Police,MSB Communications Division,F,78399.05,7401.67,0.0,85001,Junior,Asian,2,2,Ph.D,47039.43000000001,2590.5845
99,POL,Department of Police,MSB Information Mgmt and Tech Division Telephone Reporting Section,F,57679.55,9795.86,0.0,75201,Assistant,Native American,2,6,Bachelor,80751.37000000001,3428.551
100,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604.0,3413.74,1336.16,92101,Junior,Native American,4,8,High School,139208.0,1528.8489999999997
101,REC,Department of Recreation,Youth Development Youth Services,F,70872.68,0.0,0.0,10001,Senior,Hispanic,2,1,Ph.D,28349.072,0.0
102,DOT,Department of Transportation,Transportation Planning and Design Section,F,111407.0,0.0,6735.04,78201,Assistant,Asian,3,9,Master,233954.7,1683.76
103,COR,Correction and Rehabilitation,DS Health Services,M,96731.83,32.08,0.0,77001,Junior,Black,1,6,Bachelor,125751.37900000002,11.227999999999998
104,HHS,Department of Health and Human Services,Children Youth and Family Services Division,M,27864.81,0.0,0.0,90001,Assistant,Asian,5,1,Ph.D,19505.367,0.0
105,HHS,Department of Health and Human Services,School Health Services,F,41317.8,47.78,0.0,10001,Senior,White,1,7,Ph.D,61976.70000000001,16.723
106,POL,Department of Police,MSB Personnel Division,F,146923.0,0.0,0.0,85001,Manager,Asian,4,2,Master,117538.4,0.0
107,HHS,Department of Health and Human Services,School Health Services,F,60903.5,0.0,3123.46,10001,Manager,Pacific Islander,4,10,Bachelor,146168.4,780.865
108,POL,Department of Police,POL 47 PSB 2nd District Patrol,M,75136.0,1968.78,0.0,78201,Junior,Other,3,3,High School,67622.40000000001,689.073
109,POL,Department of Police,PSB 1st District Patrol,M,95112.0,11466.16,6724.51,10001,Senior,Native American,2,10,Master,209246.4,5694.2835
110,DGS,Department of General Services,Fleet Automotive Heavy Equipment,F,82739.26,0.0,0.0,10001,Junior,Hispanic,4,1,Bachelor,49643.556,0.0
111,HHS,Department of Health and Human Services,Public Health Services Division,F,103579.65,0.0,0.0,90001,Manager,Pacific Islander,5,4,Master,134653.54499999998,0.0
112,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,F,92211.0,11189.8,1907.6,78201,Junior,Other,3,2,Ph.D,64547.7,4393.329999999999
113,DPS,Department of Permitting Services,Fire Code Compliance,M,101350.0,4531.57,0.0,85001,Senior,Native American,5,5,Master,152025.0,1586.0495
114,DOT,Department of Transportation,Highway Services,M,106173.89,44412.12,0.0,78201,Manager,Pacific Islander,3,6,Ph.D,159260.83500000002,15544.242
115,OHR,Office of Human Resources,Recruitment and Selection Division,M,111407.0,0.0,0.0,90001,Junior,White,4,5,Bachelor,155969.8,0.0
116,DOT,Department of Transportation,Highway Administration,M,90394.37,0.0,0.0,77001,Senior,Hispanic,5,7,Bachelor,171749.303,0.0
117,CEC,Community Engagement Cluster,Community Partnerships,F,115557.76,0.0,0.0,90001,Manager,Asian,3,8,Ph.D,219559.744,0.0
118,ABS,Alcohol Beverage Services,Burtonsville,M,38380.34,220.68,0.0,75201,Manager,Native American,5,3,Ph.D,42218.374,77.238
119,CAT,County Attorney's Office,Support Services,F,57510.44,3260.67,0.0,85001,Assistant,Asian,2,5,Master,69012.528,1141.2345
120,HCA,Department of Housing and Community Affairs,Management Services,F,75420.83,0.0,0.0,78201,Manager,Black,5,9,Bachelor,173467.909,0.0
121,HHS,Department of Health and Human Services,Public Health Services Division,F,79689.68,0.0,0.0,78201,Manager,Native American,1,10,Master,167348.32799999998,0.0
122,DGS,Department of General Services,DGS 36 Central Duplicating,M,52228.87,0.0,0.0,85001,Junior,Black,1,9,Ph.D,99234.85300000002,0.0
123,HHS,Department of Health and Human Services,Child Welfare Services,M,101350.0,0.0,6127.68,77001,Assistant,Pacific Islander,3,10,High School,233105.0,1531.92
124,COR,Correction and Rehabilitation,DS Inmate Records,F,76419.0,15399.92,2276.56,60601,Assistant,White,3,1,High School,38209.5,5959.112
125,DGS,Department of General Services,Building Design and Construction,F,100000.0,0.0,0.0,77001,Senior,Asian,3,1,Bachelor,50000.0,0.0
126,POL,Department of Police,PSB 2nd District Patrol,M,95112.0,1392.8,6724.51,60601,Assistant,Asian,4,5,High School,133156.8,2168.6075
127,POL,Department of Police,FSB Traffic Division School Safety Section,F,23451.83,0.0,0.0,90001,Senior,Other,4,1,Master,14071.098000000002,0.0
128,REC,Department of Recreation,REC 72 Business Services,M,50029.09,0.0,0.0,77001,Assistant,Native American,5,4,High School,65037.817,0.0
129,POL,Department of Police,POL 47 MSB Training and Education Division,M,59082.0,0.0,0.0,95113,Manager,White,3,6,Ph.D,88623.00000000001,0.0
130,HHS,Department of Health and Human Services,Child Welfare Services,F,106250.0,0.0,0.0,60601,Assistant,Black,4,1,Ph.D,63750.0,0.0
131,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,M,58367.26,63.14,0.0,60601,Junior,Pacific Islander,3,10,Bachelor,134244.69800000003,22.099
132,DPS,Department of Permitting Services,Land Development Right-of-Way Plan Review,M,116825.0,0.0,0.0,77001,Senior,White,5,6,High School,198602.5,0.0
133,TBS,Department of Technology and Enterprise Business Solutions,ODT Geographic Information System,M,128483.0,0.0,1772.64,10001,Junior,Native American,5,3,Master,141331.30000000002,443.16
134,FRS,Fire and Rescue Services,Second Battalion - Administration,M,102133.0,0.0,0.0,75201,Junior,White,4,7,Ph.D,183839.4,0.0
135,POL,Department of Police,HQ Office of the Chief,M,84082.0,5016.18,0.0,19102,Senior,Asian,1,10,Master,176572.2,1755.663
136,POL,Department of Police,MSB Personnel Division,M,157589.44,1239.69,0.0,60601,Manager,Black,3,1,High School,78794.72,433.8915
137,POL,Department of Police,ISB Criminal Investigations Division 6th District Investigative Section,M,95112.0,5496.66,3304.47,90001,Manager,Hispanic,3,10,Bachelor,218757.6,2749.9485
138,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),M,96088.0,94327.13,3303.21,19102,Senior,Hispanic,4,10,High School,230611.20000000004,33840.297999999995
139,FRS,Fire and Rescue Services,Station 29,M,71062.0,0.0,0.0,77001,Senior,Hispanic,3,6,Bachelor,106593.0,0.0
140,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,76398.18,0.0,0.0,95113,Senior,Other,3,9,Master,160436.178,0.0
141,TBS,Department of Technology and Enterprise Business Solutions,ODT Payroll/Comp/BI,F,146923.0,0.0,0.0,19102,Senior,White,5,4,Ph.D,190999.9,0.0
142,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,52367.1,26639.2,0.0,95113,Senior,Asian,2,6,High School,73313.94,9323.72
143,OIG,Office of the Inspector General,Office of the Inspector General,M,137025.0,0.0,0.0,75201,Senior,White,3,8,Master,260347.5,0.0
144,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,90801.46,0.0,0.0,90001,Manager,Asian,1,3,Bachelor,63561.022,0.0
145,POL,Department of Police,FSB Special Operations Division,M,145117.28,3284.21,0.0,19102,Assistant,Hispanic,4,1,Bachelor,87070.368,1149.4734999999998
146,FRS,Fire and Rescue Services,Station 3,M,68658.0,19571.32,0.0,19102,Manager,Black,2,7,High School,109852.8,6849.962
147,FRS,Fire and Rescue Services,Station 13,M,96088.0,1615.94,3339.7,75201,Assistant,Hispanic,3,3,Master,86479.20000000001,1400.504
148,FIN,Department of Finance,Accounts Payable,F,59123.75,0.0,0.0,19102,Assistant,Native American,4,7,Bachelor,106422.75,0.0
149,POL,Department of Police,ISB Major Crimes Division Cold Case Section,F,95112.0,146.96,6724.51,77001,Junior,Black,1,1,High School,28533.6,1732.5635
150,POL,Department of Police,Patrol Services Bureau,M,95112.0,0.0,2295.27,19102,Senior,Other,1,3,High School,66578.40000000001,573.8175
151,POL,Department of Police,MSB Management and Budget Division,F,88407.66,0.0,0.0,78201,Assistant,Other,3,1,Ph.D,44203.83,0.0
152,ABS,Alcohol Beverage Services,Poolesville,M,38380.32,348.19,0.0,10001,Senior,Asian,4,1,Bachelor,23028.192000000003,121.8665
153,FRS,Fire and Rescue Services,Station 31,M,78788.0,9531.71,0.0,95113,Manager,Asian,3,9,High School,165454.8,3336.0985
154,COR,Correction and Rehabilitation,DS Health Services,F,106250.0,84732.4,0.0,10001,Senior,Black,1,9,Bachelor,201875.0,29656.34
155,FRS,Fire and Rescue Services,Station 26,M,67677.0,1959.84,0.0,75201,Senior,Asian,2,4,Bachelor,67677.0,685.944
156,LIB,Department of Public Libraries,Collection Development,F,45808.8,0.0,0.0,75201,Junior,Hispanic,1,8,Ph.D,77874.96,0.0
157,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,152785.0,0.0,3034.72,77001,Manager,Hispanic,3,4,Bachelor,168063.5,758.68
158,HHS,Department of Health and Human Services,Child Welfare Services,F,116825.0,0.0,0.0,77001,Manager,Black,4,3,Master,116825.0,0.0
159,HHS,Department of Health and Human Services,Chief Operating Officer Division,M,165192.82,0.0,0.0,10001,Junior,Hispanic,2,10,Bachelor,363424.2040000001,0.0
160,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,73123.0,36024.9,0.0,19102,Manager,Pacific Islander,3,1,Bachelor,36561.5,12608.715
161,DOT,Department of Transportation,Transit Silver Spring Ride On,M,61453.99,2966.5,0.0,90001,Manager,Other,3,3,Bachelor,55308.591,1038.275
162,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,69082.31,0.0,0.0,10001,Junior,White,4,10,Master,165797.544,0.0
163,DPS,Department of Permitting Services,Commercial Structural and Complex Structures,M,100000.0,0.0,0.0,90001,Manager,Hispanic,3,1,Ph.D,50000.0,0.0
164,FRS,Fire and Rescue Services,Station 2,M,61040.0,18271.32,0.0,10001,Junior,Black,2,1,Bachelor,24416.0,6394.962
165,DOT,Department of Transportation,Transit Silver Spring Ride On,F,47231.4,0.0,0.0,90001,Senior,Pacific Islander,5,1,High School,33061.98,0.0
166,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,47502.0,0.0,0.0,75201,Junior,White,1,6,High School,61752.59999999999,0.0
167,HHS,Department of Health and Human Services,Child Welfare Services,F,73933.77,0.0,0.0,19102,Senior,Native American,1,10,Bachelor,155260.91700000002,0.0
168,ABS,Alcohol Beverage Services,Downtown Rockville,M,66446.0,99.66,1980.22,10001,Junior,White,2,7,Bachelor,106313.6,529.936
169,POL,Department of Police,ISB Special Victims Investigations Division Child Abuse and Missing Children,M,80077.0,9235.26,0.0,78201,Assistant,Black,1,1,Ph.D,24023.1,3232.341
170,POL,Department of Police,PSB 5th District Patrol,M,57085.0,4349.36,0.0,95113,Assistant,Pacific Islander,3,7,Ph.D,97044.5,1522.2759999999998
171,POL,Department of Police,PSB 3rd District Patrol,M,57085.0,899.62,0.0,78201,Junior,Hispanic,5,7,High School,108461.5,314.867
172,FRS,Fire and Rescue Services,FRS 45 Training,M,111341.35,0.0,0.0,19102,Manager,Native American,3,7,Ph.D,189280.295,0.0
173,ZAH,Office of Zoning and Administrative Hearings,Director,F,181930.63,0.0,0.0,60601,Junior,Black,4,8,Bachelor,363861.26,0.0
174,PIO,Office of Public Information,Director's Office,F,80086.0,0.0,0.0,75201,Manager,Black,2,10,Master,176189.2,0.0
175,FRS,Fire and Rescue Services,Station 26,M,96088.0,692.96,0.0,60601,Senior,Pacific Islander,4,4,Bachelor,115305.6,242.536
176,FRS,Fire and Rescue Services,Station 13,M,84401.0,23659.08,0.0,60601,Junior,Native American,1,9,High School,160361.90000000002,8280.678
177,HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,89279.4,0.0,0.0,19102,Senior,Hispanic,1,8,High School,151774.98,0.0
178,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,88.25,0.0,90001,Junior,Other,3,10,Bachelor,112566.6,30.8875
179,FRS,Fire and Rescue Services,Station 29,M,68658.0,21445.39,0.0,95113,Senior,Hispanic,5,5,Master,102987.0,7505.8865
180,POL,Department of Police,POL 47 PSB 5th District Patrol,M,95112.0,0.0,4672.6,19102,Assistant,Asian,5,6,High School,161690.40000000002,1168.15
181,HHS,Department of Health and Human Services,Public Health Services Division,F,112000.0,0.0,0.0,95113,Senior,White,1,10,Ph.D,235200.0,0.0
182,POL,Department of Police,POL 47 PSB 6th District Patrol,F,98389.0,513.14,2526.85,92101,Junior,Other,3,5,High School,127905.7,811.3115
183,HHS,Department of Health and Human Services,Public Health Services Division,F,60846.14,2.58,0.0,77001,Assistant,Pacific Islander,5,6,Bachelor,103438.438,0.903
184,POL,Department of Police,FSB Traffic Division Collision Reconstruction,M,95112.0,11213.95,6724.51,75201,Junior,Asian,2,1,Bachelor,38044.8,5606.01
185,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,F,57038.72,4845.97,0.0,85001,Manager,Native American,5,5,Ph.D,85558.08,1696.0895
186,LIB,Department of Public Libraries,Community Outreach,F,70764.33,0.0,0.0,78201,Manager,Hispanic,1,4,Bachelor,63687.89700000001,0.0
187,FRS,Fire and Rescue Services,Station 35,M,68658.0,3946.51,0.0,75201,Manager,Other,1,7,High School,102987.0,1381.2785
188,HHS,Department of Health and Human Services,School Health Services,F,106250.0,4099.34,0.0,92101,Junior,Other,1,2,Bachelor,53125.0,1434.769
189,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,101350.0,16566.45,6127.68,90001,Senior,Other,3,10,Master,233105.0,7330.1775
