Employee_id,Department,Department_Name,Division,Gender,Base_Salary,2021_Overtime_Pay,2021_Longevity_Pay,Post_Code,Position,Race,Bonus_Level,Length_of_Service,Education,other_bonus,base_bonus
18,DEP,Department of Environmental Protection,Resource Conversion,F,63425.0,3819.3,0.0,85001,Senior,Native American,4,3,Master,1336.755,21163.165943206182
19,DOT,Department of Transportation,Highway Services,M,53424.76,10627.93,0.0,19102,Manager,Pacific Islander,2,7,Master,3719.7755,310661.1853518083
20,FRS,Fire and Rescue Services,Station 33,M,119197.0,36158.64,2877.9,60601,Manager,Black,1,1,Ph.D,13374.999,1117113.4807071085
21,OMB,Office of Management and Budget,County Stat,M,169722.28,0.0,0.0,95113,Junior,Pacific Islander,1,2,Ph.D,0.0,-32.96794059444101
22,DOT,Department of Transportation,DOT 50 Highway Services,M,48569.11,8568.06,0.0,19102,Senior,Black,2,9,Ph.D,2998.8209999999995,250443.47921877747
23,DOT,Department of Transportation,Highway Services,M,80086.0,11753.1,1591.2,19102,Assistant,White,4,5,Master,4511.385,376780.3485488137
24,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,100485.0,1811.69,0.0,92101,Senior,Hispanic,4,7,Ph.D,634.0915,10691.817604814329
25,FRS,Fire and Rescue Services,Station 26,M,68658.0,11298.53,0.0,85001,Junior,White,2,1,High School,3954.4855,330265.3320857335
26,OLR,Office of Labor Relations,Labor Relations Division,M,141144.02,0.0,0.0,78201,Manager,Other,1,2,High School,0.0,-32.96794059444101
27,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,127756.46,0.0,0.0,77001,Senior,White,4,9,Ph.D,0.0,1242.3542771853845
28,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,117.67,0.0,19102,Assistant,Other,3,5,Bachelor,41.1845,3406.9663662665403
29,POL,Department of Police,PSB 3rd District Patrol,F,64209.0,0.0,0.0,77001,Assistant,Native American,5,8,Master,0.0,1242.3542771853845
30,CEC,Community Engagement Cluster,CEC 16 Regional Services Centers,F,163618.0,0.0,0.0,85001,Assistant,Other,3,1,Bachelor,0.0,1242.3542771853845
31,POL,Department of Police,PSB 5th District Patrol,M,59939.0,2812.0,0.0,75201,Assistant,White,4,1,Bachelor,984.2,82172.31183244099
32,HHS,Department of Health and Human Services,Office of Community Affairs Division,F,65037.82,0.0,0.0,75201,Junior,Pacific Islander,3,5,High School,0.0,1242.3542771853845
33,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,7223.9,0.0,78201,Junior,White,3,7,Master,2528.365,211148.65387748188
34,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,M,92211.0,0.0,3623.44,95113,Junior,Asian,5,10,Ph.D,905.86,75628.9653404479
35,POL,Department of Police,PSB 3rd District Community Operations,F,95112.0,2645.18,6724.51,90001,Manager,Asian,2,1,High School,2606.9405,40091.93458548579
36,HHS,Department of Health and Human Services,Child Welfare Services,F,85377.92,0.0,0.0,19102,Manager,Pacific Islander,5,8,High School,0.0,1242.3542771853845
37,DGS,Department of General Services,Property Management,M,106250.0,46483.42,0.0,10001,Senior,Hispanic,2,2,Bachelor,16269.196999999998,1358851.2944731717
38,ABS,Alcohol Beverage Services,Retail Administration,M,108656.27,0.0,1484.8,60601,Manager,Asian,5,4,Master,371.2,30971.502544825955
39,DOT,Department of Transportation,Transit Nicholson Ride On,M,52734.0,4685.98,0.0,78201,Assistant,Asian,2,4,Master,1640.0929999999998,136955.75784562482
40,POL,Department of Police,PSB 2nd District Patrol,F,80077.0,0.0,0.0,92101,Assistant,Native American,3,2,Ph.D,0.0,1242.3542771853845
41,DPS,Department of Permitting Services,Residential Inspections,M,70596.6,0.0,0.0,90001,Senior,Hispanic,4,2,Master,0.0,-32.96794059444101
42,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,77127.8,0.0,0.0,19102,Manager,Native American,5,5,Bachelor,0.0,1242.3542771853845
43,ABS,Alcohol Beverage Services,Darnestown,M,52772.94,164.04,0.0,10001,Manager,Other,1,1,Bachelor,57.414,4762.534937772819
44,POL,Department of Police,PSB 5th District Patrol,F,99865.0,18.64,3469.57,92101,Assistant,Asian,3,1,High School,873.9165,14265.777423781485
45,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,104287.33,10923.15,0.0,77001,Senior,Pacific Islander,5,5,High School,3823.1025,58215.62528226357
46,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,48205.13,0.0,0.0,19102,Assistant,Black,2,1,Master,0.0,-32.96794059444101
47,POL,Department of Police,MSB Communications Division,M,57149.89,6387.68,0.0,95113,Assistant,Asian,4,5,High School,2235.688,186702.814954364
48,ABS,Alcohol Beverage Services,White Oak,M,39248.69,210.79,0.0,90001,Senior,Black,4,8,Ph.D,73.7765,6129.212330870047
49,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,F,83628.0,4841.72,0.0,19102,Manager,Black,4,7,High School,1694.602,26495.932749577245
50,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,36050.09,552.7,0.0,95113,Manager,Pacific Islander,1,10,Bachelor,193.445,16124.520726033114
51,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,22202.0,0.0,0.0,19102,Senior,Pacific Islander,2,4,High School,0.0,1242.3542771853845
52,DOT,Department of Transportation,Transportation Management,M,80926.65,14299.23,0.0,77001,Senior,White,1,1,Ph.D,5004.7305,417987.0187909068
53,REC,Department of Recreation,Facilities Division,F,75208.56,0.0,0.0,60601,Junior,White,2,10,Master,0.0,1242.3542771853845
54,LIB,Department of Public Libraries,Public Service Administration,F,91469.07,0.0,0.0,60601,Junior,Pacific Islander,1,8,Ph.D,0.0,1242.3542771853845
55,CAT,County Attorney's Office,CAT 30 Human Resources and Appeals,F,150527.0,0.0,0.0,92101,Senior,Black,3,9,High School,0.0,1242.3542771853845
56,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,M,76216.28,0.0,0.0,60601,Senior,Asian,2,4,High School,0.0,-32.96794059444101
57,LIB,Department of Public Libraries,Long Branch Library,M,87969.0,0.0,1747.2,90001,Assistant,Black,3,8,High School,436.8,36450.74086337008
58,DOT,Department of Transportation,DOT 50 Traffic Engineering Studies Section,M,97203.6,0.0,0.0,78201,Senior,Other,1,8,High School,0.0,-32.96794059444101
59,POL,Department of Police,ISB Major Crimes Division Fugitive Section,M,95112.0,7954.65,6724.51,78201,Assistant,Black,4,9,High School,4465.254999999999,372927.3414812154
60,POL,Department of Police,PSB 5th District Patrol,M,82882.0,0.0,0.0,75201,Manager,White,3,9,High School,0.0,-32.96794059444101
61,HHS,Department of Health and Human Services,School Health Services,F,51619.12,4216.23,0.0,85001,Assistant,White,1,10,High School,1475.6804999999997,23233.484528966303
62,FIN,Department of Finance,General Accounting,F,111407.0,0.0,1537.28,92101,Assistant,Hispanic,2,6,Ph.D,384.32,6969.63140686518
63,PRO,Office of Procurement,Procurement Operations Section,M,91177.91,0.0,2495.2,75201,Manager,Hispanic,5,9,Master,623.8,52069.91107019554
64,PRO,Office of Procurement,Procurement Division,F,115635.68,0.0,0.0,85001,Assistant,White,5,8,Bachelor,0.0,1242.3542771853845
65,HHS,Department of Health and Human Services,School Health Services,F,63425.0,2378.87,1889.68,60601,Manager,White,5,10,Ph.D,1305.0245,20690.30643299776
66,LIB,Department of Public Libraries,Wheaton Library,F,20498.14,0.0,0.0,92101,Senior,White,1,5,Master,0.0,1242.3542771853845
67,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,M,52041.37,717.15,0.0,78201,Manager,Pacific Islander,5,6,Ph.D,251.0025,20932.00943822219
68,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,86697.89,0.0,0.0,92101,Manager,Native American,2,1,Master,0.0,1242.3542771853845
69,POL,Department of Police,FSB Traffic Division,M,95112.0,9064.73,6724.51,60601,Manager,Native American,1,10,Ph.D,4853.782999999999,405379.1327224855
70,HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,71249.89,0.0,0.0,92101,Junior,Asian,3,1,Bachelor,0.0,1242.3542771853845
71,POL,Department of Police,MSB Training and Education Division,F,80086.0,0.0,0.0,75201,Senior,Hispanic,5,4,Master,0.0,1242.3542771853845
72,DHS,Office of Emergency Management and Homeland Security,Policy and Planning,M,116825.0,0.0,0.0,75201,Manager,Pacific Islander,2,8,Master,0.0,-32.96794059444101
73,DOT,Department of Transportation,Transit Gaithersburg Ride On,F,55655.85,7110.46,0.0,75201,Manager,White,5,5,Master,2488.661,38329.29023895175
74,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,92211.0,0.0,0.0,75201,Junior,Hispanic,3,1,Master,0.0,1242.3542771853845
75,FRS,Fire and Rescue Services,Station 32,F,58975.0,567.08,0.0,75201,Junior,Other,1,2,Bachelor,198.478,4200.145987594903
76,COR,Correction and Rehabilitation,MSD Human Resources,F,125237.58,0.0,0.0,19102,Senior,Pacific Islander,1,8,Bachelor,0.0,1242.3542771853845
77,POL,Department of Police,FSB Security Services Division,M,73439.0,16328.47,0.0,19102,Assistant,White,2,5,High School,5714.964499999999,477309.2954362248
78,FRS,Fire and Rescue Services,Station 30,M,55052.0,26890.9,0.0,60601,Manager,White,3,5,Ph.D,9411.815,786088.6386912401
79,POL,Department of Police,PSB 5th District Patrol,M,91894.0,5311.05,0.0,19102,Senior,Black,5,7,Master,1858.8675,155228.89235050793
80,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,71500.19,0.0,0.0,92101,Assistant,Pacific Islander,3,5,High School,0.0,1242.3542771853845
81,POL,Department of Police,PSB 1st District Patrol,M,95112.0,212.98,3304.47,10001,Assistant,White,3,8,High School,900.6605,75194.67723622122
82,HHS,Department of Health and Human Services,Public Health Services Division,F,97000.0,0.0,0.0,90001,Junior,Pacific Islander,3,3,High School,0.0,1242.3542771853845
83,POL,Department of Police,POL 47 FSB Traffic Division Automated Traffic Enforcement Section,M,124306.6,0.0,0.0,92101,Senior,Native American,3,10,Master,0.0,-32.96794059444101
84,FRS,Fire and Rescue Services,Station 6,M,87356.0,17646.4,0.0,60601,Junior,Native American,2,10,Master,6176.24,515837.3197503346
85,FRS,Fire and Rescue Services,FRS 45 Fleet Support,M,101350.0,4442.48,4780.21,10001,Junior,Pacific Islander,5,9,Ph.D,2749.9205,229654.07133608256
86,DGS,Department of General Services,Fleet Automotive Heavy Equipment,M,83931.0,0.0,0.0,90001,Senior,Hispanic,5,8,High School,0.0,-32.96794059444101
87,POL,Department of Police,MSB Training and Education Division,M,109849.0,6658.4,7766.33,75201,Senior,Native American,5,1,Ph.D,4272.022499999999,356787.6018716411
88,FRS,Fire and Rescue Services,Station 1,M,71062.0,555.19,0.0,77001,Assistant,Pacific Islander,1,2,Master,194.3165,16197.31274119487
89,FRS,Fire and Rescue Services,Station 23,M,105707.0,35063.89,1098.32,78201,Senior,Asian,1,4,Ph.D,12546.9415,1047949.9992443364
90,DGS,Department of General Services,Fleet Automotive Heavy Equipment,M,83931.0,20419.88,4288.64,77001,Manager,Other,1,4,Master,8219.118,686468.6523373892
91,POL,Department of Police,PSB 3rd District Patrol,M,55154.0,2206.55,0.0,75201,Senior,Native American,5,8,Bachelor,772.2925,64472.74332654331
92,POL,Department of Police,ISB Major Crimes Division Cold Case Section,M,109849.0,3007.59,7766.33,10001,Manager,Asian,4,8,High School,2994.239,250060.76778622312
93,PIO,Office of Public Information,MC311,F,72930.0,755.81,1508.88,90001,Junior,Asian,3,8,Ph.D,641.7535,10805.99952968841
94,HHS,Department of Health and Human Services,Children Youth and Family Services Division,M,27864.81,0.0,0.0,78201,Manager,Other,2,8,Ph.D,0.0,-32.96794059444101
95,FIN,Department of Finance,Accounts Receivable,F,146923.0,0.0,0.0,75201,Junior,Native American,3,9,Ph.D,0.0,1242.3542771853845
96,FRS,Fire and Rescue Services,Station 25,M,119197.0,219325.63,4680.0,92101,Junior,Asian,3,2,High School,77933.9705,6509399.92047232
97,OAG,Office of Agriculture,Agricultural Services,M,76289.35,0.0,0.0,85001,Assistant,Black,3,3,High School,0.0,-32.96794059444101
98,POL,Department of Police,MSB Communications Division,F,78399.05,7401.67,0.0,85001,Junior,Asian,2,2,Ph.D,2590.5845,39848.19149448598
99,POL,Department of Police,MSB Information Mgmt and Tech Division Telephone Reporting Section,F,57679.55,9795.86,0.0,75201,Assistant,Native American,2,6,Bachelor,3428.551,52335.87459941892
100,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604.0,3413.74,1336.16,92101,Junior,Native American,4,8,High School,1528.8489999999997,127664.10559702538
101,REC,Department of Recreation,Youth Development Youth Services,F,70872.68,0.0,0.0,10001,Senior,Hispanic,2,1,Ph.D,0.0,1242.3542771853845
102,DOT,Department of Transportation,Transportation Planning and Design Section,F,111407.0,0.0,6735.04,78201,Assistant,Asian,3,9,Master,1683.76,26334.36130224172
103,COR,Correction and Rehabilitation,DS Health Services,M,96731.83,32.08,0.0,77001,Junior,Black,1,6,Bachelor,11.227999999999998,904.8504716100314
104,HHS,Department of Health and Human Services,Children Youth and Family Services Division,M,27864.81,0.0,0.0,90001,Assistant,Asian,5,1,Ph.D,0.0,-32.96794059444101
105,HHS,Department of Health and Human Services,School Health Services,F,41317.8,47.78,0.0,10001,Senior,White,1,7,Ph.D,16.723,1491.5665363434691
106,POL,Department of Police,MSB Personnel Division,F,146923.0,0.0,0.0,85001,Manager,Asian,4,2,Master,0.0,1242.3542771853845
107,HHS,Department of Health and Human Services,School Health Services,F,60903.5,0.0,3123.46,10001,Manager,Pacific Islander,4,10,Bachelor,780.865,12879.08995544156
108,POL,Department of Police,POL 47 PSB 2nd District Patrol,M,75136.0,1968.78,0.0,78201,Junior,Other,3,3,High School,689.073,57521.83672212131
109,POL,Department of Police,PSB 1st District Patrol,M,95112.0,11466.16,6724.51,10001,Senior,Native American,2,10,Master,5694.2835,475581.9154413192
110,DGS,Department of General Services,Fleet Automotive Heavy Equipment,F,82739.26,0.0,0.0,10001,Junior,Hispanic,4,1,Bachelor,0.0,1242.3542771853845
111,HHS,Department of Health and Human Services,Public Health Services Division,F,103579.65,0.0,0.0,90001,Manager,Pacific Islander,5,4,Master,0.0,1242.3542771853845
112,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,F,92211.0,11189.8,1907.6,78201,Junior,Other,3,2,Ph.D,4393.329999999999,66713.36393615742
113,DPS,Department of Permitting Services,Fire Code Compliance,M,101350.0,4531.57,0.0,85001,Senior,Native American,5,5,Master,1586.0495,132441.7758933651
114,DOT,Department of Transportation,Highway Services,M,106173.89,44412.12,0.0,78201,Manager,Pacific Islander,3,6,Ph.D,15544.242,1298299.4466801817
115,OHR,Office of Human Resources,Recruitment and Selection Division,M,111407.0,0.0,0.0,90001,Junior,White,4,5,Bachelor,0.0,-32.96794059444101
116,DOT,Department of Transportation,Highway Administration,M,90394.37,0.0,0.0,77001,Senior,Hispanic,5,7,Bachelor,0.0,-32.96794059444101
117,CEC,Community Engagement Cluster,Community Partnerships,F,115557.76,0.0,0.0,90001,Manager,Asian,3,8,Ph.D,0.0,1242.3542771853845
118,ABS,Alcohol Beverage Services,Burtonsville,M,38380.34,220.68,0.0,75201,Manager,Native American,5,3,Ph.D,77.238,6418.334029645054
119,CAT,County Attorney's Office,Support Services,F,57510.44,3260.67,0.0,85001,Assistant,Asian,2,5,Master,1141.2345,18249.44797892236
120,HCA,Department of Housing and Community Affairs,Management Services,F,75420.83,0.0,0.0,78201,Manager,Black,5,9,Bachelor,0.0,1242.3542771853845
121,HHS,Department of Health and Human Services,Public Health Services Division,F,79689.68,0.0,0.0,78201,Manager,Native American,1,10,Master,0.0,1242.3542771853845
122,DGS,Department of General Services,DGS 36 Central Duplicating,M,52228.87,0.0,0.0,85001,Junior,Black,1,9,Ph.D,0.0,-32.96794059444101
123,HHS,Department of Health and Human Services,Child Welfare Services,M,101350.0,0.0,6127.68,77001,Assistant,Pacific Islander,3,10,High School,1531.92,127920.6107933097
124,COR,Correction and Rehabilitation,DS Inmate Records,F,76419.0,15399.92,2276.56,60601,Assistant,White,3,1,High School,5959.112,90047.21967789423
125,DGS,Department of General Services,Building Design and Construction,F,100000.0,0.0,0.0,77001,Senior,Asian,3,1,Bachelor,0.0,1242.3542771853845
126,POL,Department of Police,PSB 2nd District Patrol,M,95112.0,1392.8,6724.51,60601,Assistant,Asian,4,5,High School,2168.6075,181099.917911268
127,POL,Department of Police,FSB Traffic Division School Safety Section,F,23451.83,0.0,0.0,90001,Senior,Other,4,1,Master,0.0,1242.3542771853845
128,REC,Department of Recreation,REC 72 Business Services,M,50029.09,0.0,0.0,77001,Assistant,Native American,5,4,High School,0.0,-32.96794059444101
129,POL,Department of Police,POL 47 MSB Training and Education Division,M,59082.0,0.0,0.0,95113,Manager,White,3,6,Ph.D,0.0,-32.96794059444101
130,HHS,Department of Health and Human Services,Child Welfare Services,F,106250.0,0.0,0.0,60601,Assistant,Black,4,1,Ph.D,0.0,1242.3542771853845
131,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,M,58367.26,63.14,0.0,60601,Junior,Pacific Islander,3,10,Bachelor,22.099,1812.85046796511
132,DPS,Department of Permitting Services,Land Development Right-of-Way Plan Review,M,116825.0,0.0,0.0,77001,Senior,White,5,6,High School,0.0,-32.96794059444101
133,TBS,Department of Technology and Enterprise Business Solutions,ODT Geographic Information System,M,128483.0,0.0,1772.64,10001,Junior,Native American,5,3,Master,443.16,36981.95970035088
134,FRS,Fire and Rescue Services,Second Battalion - Administration,M,102133.0,0.0,0.0,75201,Junior,White,4,7,Ph.D,0.0,-32.96794059444101
135,POL,Department of Police,HQ Office of the Chief,M,84082.0,5016.18,0.0,19102,Senior,Asian,1,10,Master,1755.663,146608.73913334042
136,POL,Department of Police,MSB Personnel Division,M,157589.44,1239.69,0.0,60601,Manager,Black,3,1,High School,433.8915,36207.8084754206
137,POL,Department of Police,ISB Criminal Investigations Division 6th District Investigative Section,M,95112.0,5496.66,3304.47,90001,Manager,Hispanic,3,10,Bachelor,2749.9485,229656.41003536485
138,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),M,96088.0,94327.13,3303.21,19102,Senior,Hispanic,4,10,High School,33840.297999999995,2826477.0551166004
139,FRS,Fire and Rescue Services,Station 29,M,71062.0,0.0,0.0,77001,Senior,Hispanic,3,6,Bachelor,0.0,-32.96794059444101
140,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,76398.18,0.0,0.0,95113,Senior,Other,3,9,Master,0.0,1242.3542771853845
141,TBS,Department of Technology and Enterprise Business Solutions,ODT Payroll/Comp/BI,F,146923.0,0.0,0.0,19102,Senior,White,5,4,Ph.D,0.0,1242.3542771853845
142,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,52367.1,26639.2,0.0,95113,Senior,Asian,2,6,High School,9323.72,778730.5060742866
143,OIG,Office of the Inspector General,Office of the Inspector General,M,137025.0,0.0,0.0,75201,Senior,White,3,8,Master,0.0,-32.96794059444101
144,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,90801.46,0.0,0.0,90001,Manager,Asian,1,3,Bachelor,0.0,1242.3542771853845
145,POL,Department of Police,FSB Special Operations Division,M,145117.28,3284.21,0.0,19102,Assistant,Hispanic,4,1,Bachelor,1149.4734999999998,95976.776683659
146,FRS,Fire and Rescue Services,Station 3,M,68658.0,19571.32,0.0,19102,Manager,Black,2,7,High School,6849.962,572109.9325315264
147,FRS,Fire and Rescue Services,Station 13,M,96088.0,1615.94,3339.7,75201,Assistant,Hispanic,3,3,Master,1400.504,116944.09276175791
148,FIN,Department of Finance,Accounts Payable,F,59123.75,0.0,0.0,19102,Assistant,Native American,4,7,Bachelor,0.0,1242.3542771853845
149,POL,Department of Police,ISB Major Crimes Division Cold Case Section,F,95112.0,146.96,6724.51,77001,Junior,Black,1,1,High School,1732.5635,27061.648899552107
150,POL,Department of Police,Patrol Services Bureau,M,95112.0,0.0,2295.27,19102,Senior,Other,1,3,High School,573.8175,47895.12403884446
151,POL,Department of Police,MSB Management and Budget Division,F,88407.66,0.0,0.0,78201,Assistant,Other,3,1,Ph.D,0.0,1242.3542771853845
152,ABS,Alcohol Beverage Services,Poolesville,M,38380.32,348.19,0.0,10001,Senior,Asian,4,1,Bachelor,121.8665,10145.9283482296
153,FRS,Fire and Rescue Services,Station 31,M,78788.0,9531.71,0.0,95113,Manager,Asian,3,9,High School,3336.0985,278614.57376119774
154,COR,Correction and Rehabilitation,DS Health Services,F,106250.0,84732.4,0.0,10001,Senior,Black,1,9,Bachelor,29656.34,443191.97394831385
155,FRS,Fire and Rescue Services,Station 26,M,67677.0,1959.84,0.0,75201,Senior,Asian,2,4,Bachelor,685.944,57260.48707732368
156,LIB,Department of Public Libraries,Collection Development,F,45808.8,0.0,0.0,75201,Junior,Hispanic,1,8,Ph.D,0.0,1242.3542771853845
157,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,152785.0,0.0,3034.72,77001,Manager,Hispanic,3,4,Bachelor,758.68,63335.75961295821
158,HHS,Department of Health and Human Services,Child Welfare Services,F,116825.0,0.0,0.0,77001,Manager,Black,4,3,Master,0.0,1242.3542771853845
159,HHS,Department of Health and Human Services,Chief Operating Officer Division,M,165192.82,0.0,0.0,10001,Junior,Hispanic,2,10,Bachelor,0.0,-32.96794059444101
160,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,73123.0,36024.9,0.0,19102,Manager,Pacific Islander,3,1,Bachelor,12608.715,1053109.629248461
161,DOT,Department of Transportation,Transit Silver Spring Ride On,M,61453.99,2966.5,0.0,90001,Manager,Other,3,3,Bachelor,1038.275,86688.92482139333
162,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,69082.31,0.0,0.0,10001,Junior,White,4,10,Master,0.0,1242.3542771853845
163,DPS,Department of Permitting Services,Commercial Structural and Complex Structures,M,100000.0,0.0,0.0,90001,Manager,Hispanic,3,1,Ph.D,0.0,-32.96794059444101
164,FRS,Fire and Rescue Services,Station 2,M,61040.0,18271.32,0.0,10001,Junior,Black,2,1,Bachelor,6394.962,534106.0691940634
165,DOT,Department of Transportation,Transit Silver Spring Ride On,F,47231.4,0.0,0.0,90001,Senior,Pacific Islander,5,1,High School,0.0,1242.3542771853845
166,HHS,Department of Health and Human Services,Children Youth and Family Services Division,F,47502.0,0.0,0.0,75201,Junior,White,1,6,High School,0.0,1242.3542771853845
167,HHS,Department of Health and Human Services,Child Welfare Services,F,73933.77,0.0,0.0,19102,Senior,Native American,1,10,Bachelor,0.0,1242.3542771853845
168,ABS,Alcohol Beverage Services,Downtown Rockville,M,66446.0,99.66,1980.22,10001,Junior,White,2,7,Bachelor,529.936,44229.92287611285
169,POL,Department of Police,ISB Special Victims Investigations Division Child Abuse and Missing Children,M,80077.0,9235.26,0.0,78201,Assistant,Black,1,1,Ph.D,3232.341,269948.2312332047
170,POL,Department of Police,PSB 5th District Patrol,M,57085.0,4349.36,0.0,95113,Assistant,Pacific Islander,3,7,Ph.D,1522.2759999999998,127115.0959405042
171,POL,Department of Police,PSB 3rd District Patrol,M,57085.0,899.62,0.0,78201,Junior,Hispanic,5,7,High School,314.867,26266.29016375056
172,FRS,Fire and Rescue Services,FRS 45 Training,M,111341.35,0.0,0.0,19102,Manager,Native American,3,7,Ph.D,0.0,-32.96794059444101
173,ZAH,Office of Zoning and Administrative Hearings,Director,F,181930.63,0.0,0.0,60601,Junior,Black,4,8,Bachelor,0.0,1242.3542771853845
174,PIO,Office of Public Information,Director's Office,F,80086.0,0.0,0.0,75201,Manager,Black,2,10,Master,0.0,1242.3542771853845
175,FRS,Fire and Rescue Services,Station 26,M,96088.0,692.96,0.0,60601,Senior,Pacific Islander,4,4,Bachelor,242.536,20224.84524273509
176,FRS,Fire and Rescue Services,Station 13,M,84401.0,23659.08,0.0,60601,Junior,Native American,1,9,High School,8280.678,691610.4497594864
177,HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,89279.4,0.0,0.0,19102,Senior,Hispanic,1,8,High School,0.0,1242.3542771853845
178,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,88.25,0.0,90001,Junior,Other,3,10,Bachelor,30.8875,2546.909705198723
179,FRS,Fire and Rescue Services,Station 29,M,68658.0,21445.39,0.0,95113,Senior,Hispanic,5,5,Master,7505.8865,626896.0095814029
180,POL,Department of Police,POL 47 PSB 5th District Patrol,M,95112.0,0.0,4672.6,19102,Assistant,Asian,5,6,High School,1168.15,97536.73086744393
181,HHS,Department of Health and Human Services,Public Health Services Division,F,112000.0,0.0,0.0,95113,Senior,White,1,10,Ph.D,0.0,1242.3542771853845
182,POL,Department of Police,POL 47 PSB 6th District Patrol,F,98389.0,513.14,2526.85,92101,Junior,Other,3,5,High School,811.3115,13332.814828278768
183,HHS,Department of Health and Human Services,Public Health Services Division,F,60846.14,2.58,0.0,77001,Assistant,Pacific Islander,5,6,Bachelor,0.903,1255.8111132805675
